seed,schemes_planted,schemes_found,recall_pct,decoys_planted,decoys_accused,false_accusation_rate_pct,peso_claimed,peso_actual,peso_reconciles,llm_calls,mxn_cost,wall_clock_s
401,4,4,100.0,9,0,0.0,1659665.27,1659665.27,yes,0,0.0,0.021
402,4,4,100.0,9,0,0.0,3217112.93,3217112.93,yes,0,0.0,0.021
403,3,3,100.0,7,0,0.0,1824921.46,1824921.46,yes,0,0.0,0.02
404,5,5,100.0,8,0,0.0,2396993.65,2396993.65,yes,0,0.0,0.022
405,3,3,100.0,4,0,0.0,3257980.56,3257980.56,yes,0,0.0,0.019
406,5,5,100.0,10,0,0.0,2822532.68,2822532.68,yes,0,0.0,0.019
407,3,3,100.0,4,0,0.0,1762159.51,1762159.51,yes,0,0.0,0.019
408,4,3,75.0,8,0,0.0,3062157.57,3062157.57,yes,0,0.0,0.027
409,4,4,100.0,10,0,0.0,2078043.85,2078043.85,yes,0,0.0,0.022
410,5,5,100.0,8,0,0.0,4292570.08,4292570.08,yes,0,0.0,0.023
TOTAL,40,39,97.5,77,0,0.0,26374137.56,26374137.56,yes,0,0.0,0.213
