seed,schemes_planted,schemes_found,recall_pct,decoys_planted,decoys_accused,false_accusation_rate_pct,peso_claimed,peso_actual,peso_reconciles,llm_calls,mxn_cost,wall_clock_s
1,5,5,100.0,10,0,0.0,4029359.93,4029359.93,yes,0,0.0,0.057
2,5,5,100.0,10,0,0.0,2239834.46,2239834.46,yes,0,0.0,0.054
3,5,5,100.0,10,0,0.0,2607667.84,2607667.84,yes,0,0.0,0.057
4,5,5,100.0,10,0,0.0,2302832.89,2302832.89,yes,0,0.0,0.059
5,5,5,100.0,10,0,0.0,2163047.9,2163047.9,yes,0,0.0,0.052
6,5,5,100.0,10,0,0.0,1946780.75,1946780.75,yes,0,0.0,0.074
7,5,5,100.0,10,0,0.0,2403818.99,2403818.99,yes,0,0.0,0.054
8,5,5,100.0,10,0,0.0,2227169.59,2227169.59,yes,0,0.0,0.058
9,5,5,100.0,10,0,0.0,4469517.56,4469517.56,yes,0,0.0,0.059
10,5,5,100.0,10,0,0.0,3507832.49,3507832.49,yes,0,0.0,0.065
11,5,5,100.0,10,0,0.0,2034968.85,2034968.85,yes,0,0.0,0.059
12,5,5,100.0,10,0,0.0,2597783.59,2597783.59,yes,0,0.0,0.058
9101,5,5,100.0,10,0,0.0,2816965.13,2816965.13,yes,0,0.0,0.056
9102,5,5,100.0,10,0,0.0,3676985.59,3676985.59,yes,0,0.0,0.056
9103,5,5,100.0,10,0,0.0,3923619.64,3923619.64,yes,0,0.0,0.062
9104,5,5,100.0,10,0,0.0,2864164.99,2864164.99,yes,0,0.0,0.052
9105,5,5,100.0,10,0,0.0,3787444.33,3787444.33,yes,0,0.0,0.058
TOTAL,85,85,100.0,170,0,0.0,49599794.52,49599794.52,yes,0,0.0,0.99
