seed,schemes_planted,schemes_found,recall_pct,decoys_planted,decoys_accused,false_accusation_rate_pct,peso_claimed,peso_actual,peso_reconciles,llm_calls,mxn_cost,wall_clock_s
1,5,5,100.0,10,0,0.0,4029359.93,4029359.93,yes,0,0.0,0.049
2,5,5,100.0,10,0,0.0,2239834.46,2239834.46,yes,0,0.0,0.052
3,5,5,100.0,10,0,0.0,2607667.84,2607667.84,yes,0,0.0,0.088
4,5,5,100.0,10,0,0.0,2302832.89,2302832.89,yes,0,0.0,0.054
5,5,5,100.0,10,0,0.0,2163047.9,2163047.9,yes,0,0.0,0.06
6,5,5,100.0,10,0,0.0,1946780.75,1946780.75,yes,0,0.0,0.058
7,5,5,100.0,10,0,0.0,2403818.99,2403818.99,yes,0,0.0,0.052
8,5,5,100.0,10,0,0.0,2227169.59,2227169.59,yes,0,0.0,0.056
9,5,5,100.0,10,0,0.0,4469517.56,4469517.56,yes,0,0.0,0.058
10,5,5,100.0,10,0,0.0,3507832.49,3507832.49,yes,0,0.0,0.059
11,5,5,100.0,10,0,0.0,2034968.85,2034968.85,yes,0,0.0,0.067
12,5,5,100.0,10,0,0.0,2597783.59,2597783.59,yes,0,0.0,0.057
TOTAL,60,60,100.0,120,0,0.0,32530614.84,32530614.84,yes,0,0.0,0.71
