seed,schemes_planted,schemes_found,recall_pct,decoys_planted,decoys_accused,false_accusation_rate_pct,peso_claimed,peso_actual,peso_reconciles,llm_calls,mxn_cost,wall_clock_s
1,5,5,100.0,4,0,0.0,3519082.84,3519082.84,yes,0,0.0,0.01
2,4,4,100.0,9,0,0.0,3068281.45,3068281.45,yes,0,0.0,0.009
3,3,3,100.0,7,0,0.0,1962124.75,1962124.75,yes,0,0.0,0.009
4,3,3,100.0,8,0,0.0,3303729.66,3303729.66,yes,0,0.0,0.008
5,3,3,100.0,5,0,0.0,2435849.53,2435849.53,yes,0,0.0,0.008
6,3,3,100.0,10,0,0.0,3657012.08,3657012.08,yes,0,0.0,0.011
7,3,3,100.0,8,0,0.0,1676532.59,1676532.59,yes,0,0.0,0.01
8,5,5,100.0,10,0,0.0,4257584.32,4257584.32,yes,0,0.0,0.013
9,4,4,100.0,7,0,0.0,3379863.68,3379863.68,yes,0,0.0,0.011
10,4,4,100.0,9,0,0.0,1657591.77,1657591.77,yes,0,0.0,0.01
11,4,4,100.0,6,0,0.0,2061998.12,2061998.12,yes,0,0.0,0.012
12,5,5,100.0,7,0,0.0,2402022.45,2402022.45,yes,0,0.0,0.012
TOTAL,46,46,100.0,90,0,0.0,33381673.24,33381673.24,yes,0,0.0,0.123
