kind,runs,outcome_ok,identical,planted,orig_found,found,decoys,orig_decoys_accused,decoys_accused,validator_pass,validator_compatible,validator_pass_when_compatible,deterministic,validator_export_pass,validator_export_na_identity,validator_export_fail,runs_with_undeclared_loss
rename_tables,10,10,10,42,42,42,69,0,0,0,0,0,10,10,0,0,0
rename_columns,10,0,0,42,42,28,69,0,0,0,0,0,10,10,0,0,0
reorder_columns,10,10,10,42,42,42,69,0,0,10,10,10,10,0,10,0,0
extra_columns,10,10,10,42,42,42,69,0,0,10,10,10,10,10,0,0,0
date_formats,10,10,10,42,42,42,69,0,0,10,10,10,10,10,0,0,0
amount_text,10,10,10,42,42,42,69,0,0,0,0,0,10,10,0,0,0
status_alternates,10,10,10,42,42,42,69,0,0,10,10,10,10,10,0,0,0
rfc_prefix,10,10,10,42,42,42,69,0,0,10,10,10,10,10,0,0,0
emp_id_format,10,10,10,42,42,42,69,0,0,10,10,10,10,0,10,0,0
emp_ref_format,10,10,10,42,42,42,69,0,0,10,10,10,10,10,0,0,0
clabe_numeric,10,10,10,42,42,42,69,0,0,10,10,10,10,10,0,0,0
null_tokens,10,10,10,42,42,42,69,0,0,10,10,10,10,6,4,0,0
id_formats,10,10,10,42,42,42,69,0,0,10,10,10,10,10,0,0,0
combo,10,6,6,42,42,30,69,0,0,0,0,0,10,10,0,0,0
drop_optional,10,10,0,42,42,31,69,0,0,10,6,6,10,10,0,0,0
drop_required,10,10,0,42,42,0,69,0,0,0,0,0,0,0,0,0,0
format:csv_dir,10,10,10,42,42,42,69,0,0,0,0,0,10,10,0,0,0
format:csv_messy,10,10,10,42,42,42,69,0,0,0,0,0,10,10,0,0,0
format:csv_bom_tab,10,10,10,42,42,42,69,0,0,0,0,0,10,10,0,0,0
format:csv_zip,10,10,10,42,42,42,69,0,0,0,0,0,10,10,0,0,0
format:xlsx,10,10,10,42,42,42,69,0,0,0,0,0,10,10,0,0,0
format:xlsx_messy,10,10,10,42,42,42,69,0,0,0,0,0,10,10,0,0,0
format:xlsx_zip,10,10,10,42,42,42,69,0,0,0,0,0,10,10,0,0,0
format:xlsx_numeric_clabe,10,10,0,42,42,18,69,0,0,0,0,0,10,10,0,0,0
format:single_csv,10,10,0,42,42,0,69,0,0,0,0,0,10,10,0,0,0
TOTAL,250,236,196,1050,1050,905,1725,0,0,110,106,106,240,216,24,0,0
