kind,runs,outcome_ok,identical,planted,orig_found,found,decoys,orig_decoys_accused,decoys_accused,validator_pass,validator_compatible,validator_pass_when_compatible,deterministic,validator_export_pass,validator_export_na_identity,validator_export_fail
rename_tables,9,9,9,40,40,40,62,0,0,0,0,0,9,9,0,0
rename_columns,9,9,9,40,40,40,62,0,0,0,0,0,9,9,0,0
reorder_columns,9,9,9,40,40,40,62,0,0,9,9,9,9,0,9,0
extra_columns,9,9,9,40,40,40,62,0,0,9,9,9,9,9,0,0
date_formats,9,9,9,40,40,40,62,0,0,9,9,9,9,9,0,0
amount_text,9,9,9,40,40,40,62,0,0,0,0,0,9,9,0,0
status_alternates,9,9,9,40,40,40,62,0,0,9,9,9,9,9,0,0
rfc_prefix,9,9,9,40,40,40,62,0,0,9,9,9,9,9,0,0
emp_id_format,9,9,9,40,40,40,62,0,0,9,9,9,9,0,9,0
emp_ref_format,9,9,9,40,40,40,62,0,0,9,9,9,9,9,0,0
clabe_numeric,9,9,9,40,40,40,62,0,0,9,9,9,9,9,0,0
null_tokens,9,9,9,40,40,40,62,0,0,9,9,9,9,5,4,0
id_formats,9,9,9,40,40,40,62,0,0,9,9,9,9,9,0,0
combo,9,9,9,40,40,40,62,0,0,2,2,2,9,9,0,0
drop_optional,9,9,0,40,40,31,62,0,0,9,7,7,9,9,0,0
drop_required,9,9,0,40,40,0,62,0,0,0,0,0,0,0,0,0
format:csv_dir,9,9,9,40,40,40,62,0,0,0,0,0,9,9,0,0
format:csv_messy,9,9,9,40,40,40,62,0,0,0,0,0,9,9,0,0
format:csv_bom_tab,9,9,9,40,40,40,62,0,0,0,0,0,9,9,0,0
format:csv_zip,9,9,9,40,40,40,62,0,0,0,0,0,9,9,0,0
format:xlsx,9,9,9,40,40,40,62,0,0,0,0,0,9,9,0,0
format:xlsx_messy,9,9,9,40,40,40,62,0,0,0,0,0,9,9,0,0
format:xlsx_zip,9,9,9,40,40,40,62,0,0,0,0,0,9,9,0,0
format:xlsx_numeric_clabe,9,9,0,40,40,14,62,0,0,0,0,0,9,9,0,0
format:single_csv,9,9,0,40,40,0,62,0,0,0,0,0,9,9,0,0
TOTAL,225,225,189,1000,1000,885,1550,0,0,101,99,99,216,194,22,0
